expression,thermostability,specific activity,split,num_mutations
0.75,0.93,0.87,train,1
1.02,1.01,1.18,train,1
0.996,3.164,0.817,train,2
1.238,4.455,1.664,test,3
0.747,1.426,0.663,train,2
0.7,2.312,1.024,train,2
0.363,1.701,0.285,train,3
0.619,1.92,0.694,test,8
0.777,2.464,0.892,train,6
0.136,1.967,0.082,train,6
0.085,1.639,0.17,train,4
0.148,1.846,0.16,train,5
0.136,2.356,0.189,train,5
0.78,2.138,1.185,train,6
0.949,2.257,1.141,test,5
0.863,2.79,1.183,test,8
0.917,2.036,0.975,train,5
1.496,3.392,1.583,train,5
0.198,1.284,0.278,train,6
0.675,2.238,1.082,test,6
0.647,2.665,0.955,train,3
0.169,1.959,0.199,test,6
0.352,1.595,0.389,train,4
0.251,0.108,0.175,train,6
0.21,1.938,0.223,train,3
0.282,0.813,0.265,train,4
0.77,1.63,1.132,train,3
0.438,1.917,1.229,train,4
0.89,3.327,1.113,train,4
0.098,0.757,0.155,test,5
0.913,2.592,1.088,train,7
0.692,2.364,0.988,train,8
0.125,1.867,0.118,train,6
0.146,1.676,0.194,train,5
0.364,1.734,0.397,train,8
0.544,1.886,0.639,train,7
0.307,2.587,0.738,train,5
0.201,1.606,0.266,test,6
0.974,2.33,1.202,test,5
0.117,3.422,0.158,train,4
0.81,3.464,1.078,test,5
0.703,2.872,0.908,train,4
0.782,3.013,1.022,train,5
0.41,2.134,1.025,train,6
0.419,2.276,0.27,test,6
0.378,1.695,0.327,train,7
0.836,2.571,1.087,train,7
0.339,2.836,0.49,train,5
0.771,2.088,1.271,train,6
0.546,2.368,0.962,train,4
0.056,,0.017,train,4
0.113,1.971,0.177,train,3
0.34,2.068,0.903,train,6
0.728,2.839,0.948,test,4
0.12,1.652,0.163,train,5
0.786,2.385,1.059,train,6
0.065,,0.035,train,4
0.398,4.374,1.087,train,3
0.753,3.499,1.722,train,6
0.873,4.584,1.924,train,5
0.803,2.144,1.061,train,6
0.224,1.727,0.248,train,2
0.691,2.369,1.117,train,3
0.359,1.942,1.336,train,3
0.425,1.735,0.685,test,3
1.14,0.98,0.92,train,1
0.94,0.92,0.84,train,1
1.16,0.85,1.06,train,1
1.04,0.95,0.96,train,1
0.78,0.95,0.92,train,1
1.03,0.96,1.03,train,1
0.78,0.94,0.91,train,1
0.98,0.94,1.13,train,1
0.95,0.98,1.26,train,1
1.01,0.96,1.07,train,1
1.06,1.01,0.99,train,1
0.93,0.92,1.13,train,1
0.95,0.99,1.06,train,1
1.01,1,0.92,train,1
0.85,0.98,1.03,train,1
0.82,0.98,0.83,train,1
0.79,0.99,0.91,train,1
0.53,0.97,1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.85,1.05,1.06,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.58,0.53,0.7,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.99,0.99,0.89,train,1
1.02,0.98,0.89,train,1
0.88,0.91,0.93,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.48,0.83,0.93,train,1
0.44,0.78,1.01,train,1
0.05,0.05,0.05,train,1
0.25,0.74,0.71,train,1
0.96,0.9,0.94,train,1
0.75,0.93,1.22,train,1
0.05,0.05,0.05,train,1
0.21,0.83,0.58,train,1
0.26,0.47,0.7,train,1
0.17,0.71,0.45,train,1
0.05,0.05,0.05,train,1
0.19,0.66,0.53,train,1
0.22,0.72,0.7,train,1
1.05,0.94,0.97,train,1
0.37,0.88,1,train,1
0.25,0.76,0.79,train,1
0.05,0.05,0.05,train,1
0.39,0.65,0.5,train,1
0.39,0.69,0.63,train,1
0.66,1.02,0.68,train,1
0.72,0.99,0.6,train,1
1.22,0.98,0.8,train,1
0.94,1.05,0.99,train,1
0.98,0.93,1.22,train,1
0.7,0.94,1.06,train,1
0.94,1,1.23,train,1
1.05,1.02,1.2,train,1
0.05,0.05,0.05,train,1
0.64,0.94,0.98,train,1
0.76,0.93,1.02,train,1
0.94,0.94,1.12,train,1
0.72,0.91,1.29,train,1
0.74,1.01,0.93,train,1
0.81,1.05,1.11,train,1
0.05,0.05,0.05,train,1
1,0.95,1.1,train,1
0.05,0.05,0.05,train,1
0.92,1,1.05,train,1
0.95,1.01,1.11,train,1
1.04,1.01,0.96,train,1
0.99,1.05,1.06,train,1
1.15,1.02,1.01,train,1
0.97,1,1.04,train,1
1.07,0.95,1.03,train,1
1.04,0.99,1.02,train,1
0.05,0.05,0.05,train,1
1.01,1.02,1.16,train,1
1.11,0.94,0.92,train,1
1.09,0.99,1.02,train,1
1.03,1.04,1.07,train,1
1.04,1.05,1.05,train,1
0.214,1.499,0.234,test,3
0.18,1.477,0.171,test,3
0.333,1.306,0.221,train,4
0.295,1.374,0.163,train,5
0.17,1.376,0.195,train,3
0.25,1.563,0.26,train,4
0.709,1.324,0.407,train,4
0.47,1.584,0.296,train,4
0.449,1.199,0.311,train,5
0.237,1.575,0.257,train,6
0.81,1.02,1.27,train,1
1.07,1.02,1.06,train,1
0.946,1.699,0.93,train,3
1.94,3.802,1.84,test,5
0.928,1.812,0.966,train,4
0.241,1.749,0.798,train,2
0.259,2.05,1.1,train,3
0.908,1.366,0.881,train,4
1.809,2.725,1.648,test,4
0.91,1.381,0.818,train,5
1.043,1.683,1.043,train,6
1.888,2.749,2.07,test,5
0.951,1.407,1.106,train,5
0.915,1.076,0.861,train,4
0.929,1.176,0.848,test,5
1.92,2.449,1.911,test,3
0.949,1.566,0.908,train,3
1.813,2.799,1.752,train,3
0.93,0.91,1.17,train,1
1.56,1.03,0.96,train,1
0.88,0.93,1.06,train,1
0.86,0.93,0.98,train,1
1.08,0.97,0.91,train,1
1.14,0.97,0.95,train,1
1.16,0.99,0.94,train,1
1.07,0.95,1.06,train,1
1.01,0.94,1.14,train,1
0.66,0.68,0.77,train,1
0.05,0.05,0.05,train,1
0.98,0.95,0.96,train,1
0.05,0.05,0.05,train,1
1.09,0.96,0.98,train,1
0.92,1.01,0.93,train,1
1.16,1,0.93,train,1
0.89,0.99,1.15,train,1
0.96,1.01,0.98,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.22,0.93,0.78,train,1
0.69,0.95,1.35,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.2,0.89,1,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.71,0.98,1.05,train,1
0.36,0.97,1.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.11,0.93,0.57,train,1
0.73,0.8,0.83,train,1
0.05,0.05,0.05,train,1
0.29,0.18,0.42,train,1
0.94,0.06,1.11,train,1
0.38,0.42,0.72,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.32,0.32,1.08,train,1
0.77,0.38,0.72,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.28,0.23,0.57,train,1
0.05,0.05,0.05,train,1
0.75,0.85,0.87,train,1
1.28,0.79,0.6,train,1
0.61,0.76,0.68,train,1
0.51,0.05,0.46,train,1
0.05,0.05,0.05,train,1
0.59,0.85,1.27,train,1
1.17,0.92,0.88,train,1
1.16,0.92,0.94,train,1
0.85,0.91,1.05,train,1
1.08,0.96,1.04,train,1
1.11,0.97,1.01,train,1
0.77,0.87,1.02,train,1
1.08,0.96,0.97,train,1
0.96,0.92,1.11,train,1
1.08,0.92,0.95,train,1
0.68,0.95,1.61,train,1
0.72,0.72,1.03,train,1
1.06,0.96,1.08,train,1
0.83,0.93,1.24,train,1
1.18,0.99,0.98,train,1
1.11,0.97,0.96,train,1
0.92,0.9,0.95,train,1
0.08,0.95,13.45,train,1
1.04,1.03,1.1,train,1
0.13,0.78,5.71,train,1
0.81,0.59,1.02,train,1
1.06,0.75,0.98,train,1
0.94,0.48,0.71,train,1
0.94,0.56,0.9,train,1
0.69,0.67,0.99,train,1
0.1,0.05,0.84,train,1
0.89,0.62,1.06,train,1
0.81,0.81,0.98,train,1
1.15,0.56,0.67,train,1
1.01,0.77,0.99,train,1
0.05,0.05,0.05,train,1
1.16,0.81,0.8,train,1
0.75,0.83,1.12,train,1
0.99,0.82,0.98,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.41,0.96,1.27,train,1
0.05,0.05,0.05,train,1
0.93,0.74,1.24,train,1
0.05,0.05,0.05,train,1
0.81,0.17,1.2,train,1
1.05,0.1,0.91,train,1
0.06,0.09,1.77,train,1
0.05,0.05,0.05,train,1
0.2,0.05,1.01,train,1
0.05,0.05,0.05,train,1
0.9,0.99,0.94,train,1
1.01,0.96,0.82,train,1
0.11,0.98,13.09,train,1
0.13,0.05,1.24,train,1
0.32,0.05,0.49,train,1
0.82,0.92,1.02,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.99,0.99,0.9,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.2,0.84,0.47,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.01,0.94,0.96,train,1
0.67,0.96,0.98,train,1
0.59,0.72,0.99,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
1.02,3.1,0.05,train,1
1.1,0.05,0.05,train,1
0.29,0.05,0.05,train,1
1.12,0.39,0.05,train,1
0.86,0.05,0.05,train,1
0.36,0.26,0.05,train,1
1,0.05,0.05,train,1
1.12,1.03,0.05,train,1
0.97,0.05,0.08,train,1
0.05,0.05,0.05,train,1
1.02,0.05,0.05,train,1
0.87,0.05,0.05,train,1
0.99,0.73,0.21,train,1
0.76,0.22,0.9,train,1
0.7,0.05,0.05,train,1
0.6,6.12,0.05,train,1
0.59,4.45,0.05,train,1
0.75,0.33,1.91,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.67,0.33,1.16,train,1
0.05,0.05,0.05,train,1
0.98,0.05,0.69,train,1
0.63,0.05,1.2,train,1
0.06,0.23,0.72,train,1
0.05,0.05,0.05,train,1
0.05,0.05,0.05,train,1
0.73,0.45,2.15,train,1
0.8,0.56,1.47,train,1
1.02,0.05,1.18,train,1
0.05,0.05,0.05,train,1
0.1,0.05,0.17,train,1
0.05,0.05,0.05,train,1
0.11,0.54,0.74,train,1
0.16,0.61,0.61,train,1
0.1,0.39,1.44,train,1
0.16,0.53,0.74,train,1
0.21,0.53,0.47,train,1
0.19,0.5,1.26,train,1
0.31,0.47,0.94,train,1
0.23,0.69,0.99,train,1
0.22,0.57,1.01,train,1
0.14,0.61,0.92,train,1
0.15,0.47,0.93,train,1
0.5,0.76,0.97,train,1
0.31,0.71,1.01,train,1
0.56,0.89,1.22,train,1
0.2,0.44,0.98,train,1
1.06,0.81,0.91,train,1
1.25,1.11,0.89,train,1
1.03,1.82,0.54,train,1
1.38,0.31,0.93,train,1
1.01,0.95,0.91,train,1
1.04,0.57,0.85,train,1
0.74,0.39,1.15,train,1
1.14,0.59,0.87,train,1
0.92,0.28,0.82,train,1
0.96,0.42,0.94,train,1
1.06,0.93,0.89,train,1
0.9,1.05,0.99,train,1
1.14,0.87,0.85,train,1
1.51,0.58,0.85,train,1
1.12,1.11,1.11,train,1
1,3.873,1.987,train,3
1,0.98,1.09,train,1
1.02,0.65,1.11,train,1
1.11,0.26,0.91,train,1
0.05,0.05,0.05,train,1
0.86,0.28,0.99,train,1
1.15,0.61,0.97,train,1
1.16,0.15,0.95,train,1
0.5,0.42,0.99,train,1
1.23,0.39,1.09,train,1
1.1,0.08,0.96,train,1
0.93,0.2,0.93,train,1
1.12,0.05,0.97,train,1
0.05,0.05,0.05,train,1
1.06,0.16,1.04,train,1
1.09,0.19,1.06,train,1
0.88,0.05,0.84,train,1
1.12,0.16,0.91,train,1
1.09,0.05,0.96,train,1
1.08,0.78,0.91,train,1
1.02,0.78,0.97,train,1
0.05,0.05,0.05,train,1
1.02,0.24,0.88,train,1
1.11,0.44,0.98,train,1
0.85,0.4,0.83,train,1
0.69,0.05,0.65,train,1
0.74,0.05,0.56,train,1
0.38,0.05,0.9,train,1
0.93,0.64,0.94,train,1
0.89,0.05,0.73,train,1
0.62,0.08,1.11,train,1
0.82,0.14,0.68,train,1
0.7,0.05,0.81,train,1
0.81,0.05,0.61,train,1
0.62,0.05,0.98,train,1
0.53,0.05,1.11,train,1
0.66,0.3,0.71,train,1
0.41,0.05,0.79,train,1
1.13,0.98,0.84,train,1
1.05,0.19,0.97,train,1
0.3,0.05,0.74,train,1
0.57,0.05,0.68,train,1
1.03,0.12,1.26,train,1
1.08,0.05,1.11,train,1
0.4,0.05,0.86,train,1
0.28,0.05,1.19,train,1
0.69,0.4,0.99,train,1
0.52,0.05,1.08,train,1
0.57,0.05,0.89,train,1
0.16,0.05,1.07,train,1
0.59,0.05,0.63,train,1
0.25,0.05,1.09,train,1
0.77,0.05,0.81,train,1
0.47,0.06,1.4,train,1
0.31,0.05,1.09,train,1
0.05,0.05,0.05,train,1
0.8,0.1,1.25,train,1
0.82,0.06,1.29,train,1
0.69,0.05,1.15,train,1
