ec_number,pH,temperature,turnover_number,benchmark_split,full_conditioned_split
1.1.1,5.0,30.0,0.06,train,train
1.1.1,9.5,30.0,0.02,train,train
1.1.1.198,9.0,33.0,0.0057999999999999,train,train
1.1.1.198,8.0,32.0,0.0004,train,train
1.1.1.198,8.5,22.0,0.75,train,omit
1.1.1.198,7.0,25.0,8.75,train,train
1.23.1.2,8.0,30.0,0.655,train,train
1.1.1.208,7.0,30.0,0.91,train,train
1.1.1,9.5,30.0,0.0899999999999999,test,test
1.1.1,5.0,30.0,0.47,train,train
1.1.1,8.0,30.0,0.04,test,test
1.1.1.227,7.0,25.0,6.39,train,train
3.1.1.8,7.4,37.0,0.068,train,train
1.23.1.4,8.0,30.0,0.197,train,train
1.1.1.208,7.0,30.0,0.6,valid,valid
1.1.1.208,7.0,30.0,67.65000000000002,test,test
1.1.1.208,7.0,30.0,67.65000000000002,train,train
1.1.1.208,7.0,30.0,1338.7999999999995,test,test
1.1.1.208,7.0,30.0,1338.7999999999995,test,test
1.14.14.151,7.5,30.0,12.7,train,train
1.14.14.151,7.5,30.0,3.8,train,train
1.14.14.151,7.5,30.0,20.7,valid,valid
1.14.14.151,7.5,30.0,2.1,train,train
4.1.1.115,7.5,30.0,129.99999999999997,train,train
4.1.1.115,7.5,30.0,2.0,valid,valid
1.1.1.62,7.4,25.0,0.2166666999999999,train,train
1.4.3.3,8.0,30.0,9.929999999999998,train,train
1.4.3.3,8.0,30.0,0.3489999999999999,train,train
1.4.3.3,8.0,30.0,0.111,valid,valid
1.4.3.3,8.0,30.0,0.047,valid,valid
1.4.3.3,8.0,30.0,1.46,test,test
1.4.3.12,7.0,30.0,5.8,train,train
1.4.3.12,7.0,30.0,5.6,train,train
1.4.3.12,7.0,30.0,4.9,train,train
4.2.1.113,8.0,25.0,79.99999999999997,train,train
4.2.1.113,8.0,25.0,29.000000000000004,train,train
4.2.1.113,8.0,25.0,122.00000000000004,valid,valid
1.1.1.51,7.4,25.0,1.883333,train,train
1.4.3.12,7.0,30.0,1.2,train,train
1.4.3.12,7.0,30.0,1.5,train,train
1.4.3.12,7.0,30.0,1.6,train,train
1.13.11.78,7.0,25.0,7.999999999999998,train,train
1.13.11.78,7.0,25.0,11.000000000000002,train,train
1.13.11.78,7.0,25.0,3.0000000000000004,train,train
1.13.11.78,7.0,25.0,2.0,train,train
1.13.11.78,7.0,25.0,4.0,test,test
1.13.11.78,7.0,25.0,11.000000000000002,train,train
2.4.1.367,8.0,35.0,9.1,valid,valid
1.14.14.147,7.25,30.0,0.0168333299999999,train,train
1.14.14.147,7.25,30.0,0.0211666699999999,test,test
1.3.1.105,7.0,30.0,1.43,train,train
1.3.1.105,7.0,30.0,2.69,train,train
1.1.1.1,8.0,55.0,101.00000000000004,test,test
1.1.1.1,6.5,65.0,404.99999999999983,train,train
1.3.1.105,7.0,30.0,1.94,train,train
1.1.3.7,7.0,25.0,68.40000000000002,valid,valid
1.1.3.7,7.0,25.0,17.3,train,train
